supplier_id,supplier_name,event_date,disrupted_30d,source,delay_days,volume_impact_pct
houston-chemicals,Houston Chemicals,2019-10-05,0,Stable US Gulf chemicals baseline,,
texas-winter-storm-uri-2021,Texas Petrochemical Belt,2021-02-17,1,Texas winter storm Uri — petrochemical shutdown,14,20.0
hurricane-beryl-2024,Gulf Coast Petrochemical,2024-07-08,1,Hurricane Beryl Gulf Coast petrochemical caution,,
mexico-city-assembly,Mexico City Assembly,2020-04-05,1,COVID-19 Mexico maquiladora pause — OECD,,
mexico-city-assembly,Mexico City Assembly,2024-03-01,1,Nearshoring capacity strain — public industry reports,,
mexico-city-assembly,Mexico City Assembly,2019-09-01,0,Stable NAFTA assembly baseline,,
singapore-precision-pte,Singapore Precision Pte,2019-09-01,0,Stable hub operations — negative class,,
global-chip-shortage-2021,Global Semiconductor Shortage,2021-10-01,1,Global chip shortage hub delays — public reports,,
singapore-circuit-breaker-2020,Singapore Manufacturing Hub,2020-04-01,1,COVID-19 Singapore circuit breaker — gov reports,,
panama-canal-drought-2023,Panama Canal Transit,2023-08-01,1,Panama Canal drought restrictions — Reuters Aug 2023,,
ever-given-global-2021,Suez Canal Global Shipping,2021-03-23,1,Ever Given blockage — global trade case study,6,12.0
covid-wuhan-lockdown-2020,Wuhan Manufacturing Belt,2020-01-23,1,Wuhan COVID lockdown — first supply chain shock,60,70.0
red-sea-houthi-2024,Red Sea Shipping Lane,2024-01-01,1,Houthi attacks Red Sea diversions — public reports,16,35.0
